var_index,ap,mp
0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0,7
7,0,8
8,0,9
9,1,0
10,1,2
11,1,3
12,1,4
13,1,5
14,1,6
15,1,7
16,1,8
17,1,9
18,2,0
19,2,1
20,2,3
21,2,4
22,2,5
23,2,6
24,2,7
25,2,8
26,2,9
27,3,0
28,3,1
29,3,2
30,3,4
31,3,5
32,3,6
33,3,7
34,3,8
35,3,9
36,4,0
37,4,1
38,4,2
39,4,3
40,4,5
41,4,6
42,4,7
43,4,8
44,4,9
45,5,0
46,5,1
47,5,2
48,5,3
49,5,4
50,5,6
51,5,7
52,5,8
53,5,9
54,6,0
55,6,1
56,6,2
57,6,3
58,6,4
59,6,5
60,6,7
61,6,8
62,6,9
63,7,0
64,7,1
65,7,2
66,7,3
67,7,4
68,7,5
69,7,6
70,7,8
71,7,9
72,8,0
73,8,1
74,8,2
75,8,3
76,8,4
77,8,5
78,8,6
79,8,7
80,8,9
81,9,0
82,9,1
83,9,2
84,9,3
85,9,4
86,9,5
87,9,6
88,9,7
89,9,8
