solver,iteration,alpha,a,b,AP_count,MP_count,feasible,acc_m,pairs_selected
SA,1,0.5,0.0,0.5,8,7,False,,15
SA,2,0.25,0.25,0.5,4,5,True,2.7807293915144227,7
SA,3,0.375,0.25,0.375,6,6,False,,10
SA,4,0.3125,0.25,0.3125,5,6,False,,9
SA,5,0.28125,0.25,0.28125,5,6,False,,8
SA,6,0.265625,0.25,0.265625,6,6,False,,8
SA,7,0.2578125,0.25,0.2578125,4,6,False,,7
QA,1,0.5,0.0,0.5,7,8,False,,15
QA,2,0.25,0.25,0.5,3,5,True,2.740016447807493,6
QA,3,0.375,0.25,0.375,7,6,False,,10
QA,4,0.3125,0.25,0.3125,6,6,False,,9
QA,5,0.28125,0.25,0.28125,4,6,False,,7
QA,6,0.265625,0.25,0.265625,4,6,False,,8
QA,7,0.2578125,0.2578125,0.265625,3,5,True,2.740016447807493,6
