run,solver,seed,alpha_star,AP_count,MP_count,pairs_selected,best_acc_m,time_s,tts_99_ms,p_s
0,SA,0,0.25,5,5,7,2.7734541198959484,0.9909114837646484,1.2550830841064453,1.0
0,QA,0,0.203125,5,5,6,2.637192584619939,1.8431787490844727,0.02,1.0
1,SA,1,0.125,3,4,4,2.6054533234956203,0.9337551593780518,1.2517523765563965,1.0
1,QA,1,0.125,3,4,4,2.5706987681922593,1.8978896141052246,0.02,1.0
2,SA,2,0.125,3,4,4,2.6054533234956203,1.4311552047729492,1.8709540367126465,1.0
2,QA,2,0.2421875,5,5,7,2.571188018802131,1.800124168395996,0.02,1.0
3,SA,3,0.25,4,5,7,2.7807293915144227,1.0476648807525635,1.4725494384765625,1.0
3,QA,3,0.265625,3,5,7,2.7203465494453036,1.9143447875976562,0.02,1.0
4,SA,4,0.25,3,5,6,2.740016447807493,1.6442089080810547,2.2572731971740723,1.0
4,QA,4,0.125,2,4,4,2.6127851923606755,1.9247596263885498,0.02,1.0
5,SA,5,0.25,4,5,7,2.7807293915144227,0.9316256046295166,1.2702560424804688,1.0
5,QA,5,0.125,2,4,4,2.6127851923606755,1.881901502609253,0.02,1.0
6,SA,6,0.21875,4,5,6,2.6335810037648324,0.9568102359771729,1.2491440773010254,1.0
6,QA,6,0.25,4,5,7,2.7807293915144227,1.8920516967773438,0.02,1.0
7,SA,7,0.25,4,5,7,2.7807293915144227,1.202143669128418,1.51839017868042,1.0
7,QA,7,0.25,5,5,7,2.6419274891691638,1.8929088115692139,0.02,1.0
8,SA,8,0.125,2,4,4,2.6127851923606755,1.077418327331543,1.3688182830810547,1.0
8,QA,8,0.1875,3,5,5,2.6347095762596675,4.880137205123901,0.02,1.0
9,SA,9,0.25,4,5,7,2.7807293915144227,2.7987887859344482,2.693159580230713,1.0
9,QA,9,0.25,4,5,7,2.7807293915144227,6.506476163864136,0.02,1.0
10,SA,10,0.125,2,4,4,2.6127851923606755,3.658437728881836,5.6227922439575195,1.0
10,QA,10,0.125,2,4,4,2.6127851923606755,1.8101475238800049,0.02,1.0
11,SA,11,0.25,5,5,7,2.7734541198959484,0.9442651271820068,1.2538576126098633,1.0
11,QA,11,0.25,4,5,7,2.7028917147014138,6.032584190368652,0.02,1.0
12,SA,12,0.25,4,5,7,2.7807293915144227,2.413673162460327,2.840721607208252,1.0
12,QA,12,0.25,4,5,8,2.6767625206464367,5.072754383087158,0.02,1.0
13,SA,13,0.21875,4,5,6,2.6335810037648324,1.0022592544555664,1.2327051162719727,1.0
13,QA,13,0.2578125,5,5,7,2.7734541198959484,1.8945960998535156,0.02,1.0
14,SA,14,0.25,4,5,7,2.7807293915144227,0.9449746608734131,1.251051425933838,1.0
14,QA,14,0.1875,4,5,6,2.6335810037648324,3.510610342025757,0.02,1.0
15,SA,15,0.25,4,5,7,2.7807293915144227,2.699159860610962,5.195801258087158,1.0
15,QA,15,0.25,5,5,7,2.7252680743731936,6.439170598983765,0.02,1.0
16,SA,16,0.1875,4,5,6,2.6335810037648324,2.3187201023101807,3.751835823059082,1.0
16,QA,16,0.25,3,5,6,2.740016447807493,6.370554685592651,0.02,1.0
17,SA,17,0.25,4,5,7,2.7807293915144227,2.8394877910614014,3.571348190307617,1.0
17,QA,17,0.1875,2,4,5,2.6365344178081016,6.361358880996704,0.02,1.0
18,SA,18,0.25,4,5,7,2.7807293915144227,2.7934279441833496,3.706064224243164,1.0
18,QA,18,0.25,4,5,7,2.7807293915144227,6.314854621887207,0.02,1.0
19,SA,19,0.25,4,5,7,2.7807293915144227,2.8146414756774902,3.880922794342041,1.0
19,QA,19,0.125,3,3,3,2.5998795296011346,6.337457656860352,0.02,1.0
20,SA,20,0.125,3,4,4,2.5706987681922593,2.174137830734253,3.155221939086914,1.0
20,QA,20,0.1875,5,5,6,2.65336979776342,6.390974521636963,0.02,1.0
21,SA,21,0.125,2,4,4,2.6127851923606755,2.153381586074829,3.296077251434326,1.0
21,QA,21,0.25,5,5,7,2.7252680743731936,2.544799566268921,0.02,1.0
22,SA,22,0.125,3,4,4,2.5706987681922593,1.008594036102295,1.3605546951293945,1.0
22,QA,22,0.25,4,5,6,2.6335810037648324,2.031381607055664,0.02,1.0
23,SA,23,0.25,5,5,7,2.7734541198959484,0.9594287872314453,1.3072872161865234,1.0
23,QA,23,0.21875,4,5,6,2.727653169987371,1.8888719081878662,0.02,1.0
24,SA,24,0.25,4,5,7,2.7807293915144227,1.0862071514129639,1.484987735748291,1.0
24,QA,24,0.15625,3,3,4,2.585243508596737,1.855107069015503,0.02,1.0
25,SA,25,0.125,3,4,4,2.5706987681922593,1.0213861465454102,1.3359975814819336,1.0
25,QA,25,0.21875,4,5,6,2.6335810037648324,1.7467353343963623,0.02,1.0
26,SA,26,0.25,4,5,7,2.7807293915144227,0.9406893253326416,1.2453341484069824,1.0
26,QA,26,0.25,5,5,8,2.7971921759487945,1.89760160446167,0.02,1.0
27,SA,27,0.125,2,4,4,2.6127851923606755,1.3319647312164307,1.8599224090576172,1.0
27,QA,27,0.15625,2,4,4,2.6127851923606755,1.8244855403900146,0.02,1.0
28,SA,28,0.25,3,5,7,2.7203465494453036,1.037153720855713,1.3464069366455078,1.0
28,QA,28,0.25,3,5,6,2.740016447807493,4.7199156284332275,0.02,1.0
29,SA,29,0.1875,4,5,6,2.6335810037648324,2.862870693206787,3.890254497528076,1.0
29,QA,29,0.265625,4,5,8,2.6767625206464367,4.305066823959351,0.02,1.0
30,SA,30,0.25,4,5,7,2.7807293915144227,1.327894926071167,1.8830537796020508,1.0
30,QA,30,0.1875,4,5,6,2.6335810037648324,1.8248796463012695,0.02,1.0
31,SA,31,0.2578125,3,5,7,2.7203465494453036,1.2273907661437988,1.739647388458252,1.0
31,QA,31,0.265625,5,5,8,2.5334670403427957,1.875856637954712,0.02,1.0
32,SA,32,0.1875,4,5,6,2.6335810037648324,1.240619421005249,1.7176032066345215,1.0
32,QA,32,0.1875,3,5,5,2.6414809464481572,1.7957429885864258,0.02,1.0
33,SA,33,0.1875,4,5,6,2.6335810037648324,0.9059207439422607,1.1766242980957031,1.0
33,QA,33,0.25,5,5,7,2.7734541198959484,1.8393352031707764,0.02,1.0
34,SA,34,0.25,4,5,7,2.7807293915144227,1.2274539470672607,1.7122912406921387,1.0
34,QA,34,0.25,4,5,7,2.5717220345735363,1.7873475551605225,0.02,1.0
35,SA,35,0.125,3,4,4,2.5706987681922593,1.125539779663086,1.2756109237670898,1.0
35,QA,35,0.25,5,5,7,2.7252680743731936,1.8181331157684326,0.02,1.0
36,SA,36,0.25,5,5,7,2.7734541198959484,1.1580986976623535,1.6889142990112305,1.0
36,QA,36,0.21875,3,4,5,2.689368323152697,1.7565274238586426,0.02,1.0
37,SA,37,0.125,3,4,4,2.7444702642538665,1.304933786392212,1.3648653030395508,1.0
37,QA,37,0.25,4,5,7,2.685228884793457,1.8198018074035645,0.02,1.0
38,SA,38,0.125,3,4,4,2.6054533234956203,1.08282470703125,1.3409733772277832,1.0
38,QA,38,0.125,4,4,4,2.600453669411818,1.902878761291504,0.02,1.0
39,SA,39,0.1875,3,5,5,2.6414809464481572,1.3766014575958252,1.43906831741333,1.0
39,QA,39,0.125,3,4,4,2.5706987681922593,6.359481334686279,0.02,1.0
40,SA,40,0.25,5,5,8,2.6036275509476803,3.1759636402130127,3.755056858062744,1.0
40,QA,40,0.25,4,5,7,2.7807293915144227,6.337093353271484,0.02,1.0
41,SA,41,0.25,4,5,7,2.7807293915144227,2.6623597145080566,4.7428059577941895,1.0
41,QA,41,0.1875,4,5,6,2.6335810037648324,6.383139133453369,0.02,1.0
42,SA,42,0.25,4,5,7,2.7807293915144227,2.8867180347442627,3.3793067932128906,1.0
42,QA,42,0.25,3,5,6,2.740016447807493,6.312680244445801,0.02,1.0
43,SA,43,0.125,3,4,4,2.6054533234956203,2.1666147708892822,3.1090283393859863,1.0
43,QA,43,0.125,4,5,5,2.591452764875845,6.452240705490112,0.02,1.0
44,SA,44,0.125,2,4,4,2.6127851923606755,2.48476243019104,3.2801270484924316,1.0
44,QA,44,0.25,5,5,7,2.7734541198959484,2.699446678161621,0.02,1.0
45,SA,45,0.25,4,5,7,2.7807293915144227,1.063216209411621,1.420121192932129,1.0
45,QA,45,0.1875,2,4,5,2.6365344178081016,1.8249683380126953,0.02,1.0
46,SA,46,0.1875,4,5,6,2.6335810037648324,2.5297088623046875,4.498507976531982,1.0
46,QA,46,0.125,2,4,4,2.6127851923606755,2.6612210273742676,0.02,1.0
47,SA,47,0.25,4,5,7,2.7807293915144227,1.0152795314788818,1.2819647789001465,1.0
47,QA,47,0.25,5,5,6,2.6576534635570925,1.9502134323120117,0.02,1.0
48,SA,48,0.125,2,4,4,2.6127851923606755,1.4880189895629883,2.028536796569824,1.0
48,QA,48,0.25,3,5,7,2.7203465494453036,2.132603645324707,0.02,1.0
49,SA,49,0.25,4,5,7,2.7807293915144227,0.9732625484466553,1.2576699256896973,1.0
49,QA,49,0.125,4,4,4,2.6367882925420325,1.9019105434417725,0.02,1.0
50,SA,50,0.1875,4,5,6,2.727653169987371,1.0154008865356445,1.3655805587768555,1.0
50,QA,50,0.25,5,5,7,2.7734541198959484,5.762754440307617,0.02,1.0
51,SA,51,0.25,4,5,7,2.7807293915144227,2.9816982746124268,4.503617286682129,1.0
51,QA,51,0.25,3,5,6,2.740016447807493,6.338953733444214,0.02,1.0
52,SA,52,0.25,4,5,7,2.7807293915144227,3.2619431018829346,5.299334526062012,1.0
52,QA,52,0.125,3,3,3,2.481950449044191,6.396040678024292,0.02,1.0
53,SA,53,0.25,5,5,7,2.7734541198959484,3.1108829975128174,4.53815221786499,1.0
53,QA,53,0.234375,4,5,7,2.5717220345735363,6.420578956604004,0.02,1.0
54,SA,54,0.25,4,5,7,2.7807293915144227,2.8584465980529785,3.6935997009277344,1.0
54,QA,54,0.125,3,3,4,2.4037257496340394,6.337200403213501,0.02,1.0
55,SA,55,0.15625,4,5,5,2.5053311732277246,3.574244260787964,4.957916736602783,1.0
55,QA,55,0.25,4,5,7,2.7807293915144227,6.48719048500061,0.02,1.0
56,SA,56,0.125,3,4,4,2.5706987681922593,2.421023368835449,2.9610419273376465,1.0
